"Close Window","Close Window"
"Save and Continue Edit","Save and Continue Edit"
"Save Attribute","Save Attribute"
"Delete Attribute","Delete Attribute"
"Edit Order Attribute ""%1""","Edit Order Attribute ""%1"""
"New Order Attribute","New Order Attribute"
"Manage Conditions","Manage Conditions"
"Shipping Methods","Shipping Methods"
"Please, note that if shipping methods are NOT selected in the field,
                    order attributes will be displayed on the checkout page right after the page load.
                    And if any is selected, order attributes will appear on the checkout page just when
                    a user selects the shipping method","Please, note that if shipping methods are NOT selected in the field,
                    order attributes will be displayed on the checkout page right after the page load.
                    And if any is selected, order attributes will appear on the checkout page just when
                    a user selects the shipping method"
"General Configuration","General Configuration"
"Store View","Store View"
"Default Value","Default Value"
"Attribute Type Settings","Attribute Type Settings"
"Frontend Input Type","Frontend Input Type"
"Minimal value","Minimal value"
"Maximum value","Maximum value"
"Multiple Select Size","Multiple Select Size"
"Visible on Front-end","Visible on Front-end"
"Visible on Back-end","Visible on Back-end"
"On the Frontend Only","On the Frontend Only"
"Input Validation","Input Validation"
"Enable This Option to Check the filled in data according to the defined rule","Enable This Option to Check the filled in data according to the defined rule"
"Minimum Text Length","Minimum Text Length"
"Maximum Text Length","Maximum Text Length"
"Input/Output Filter","Input/Output Filter"
"Attribute Display Settings","Attribute Display Settings"
"Position at Checkout Step","Position at Checkout Step"
"Sort Order","Sort Order"
"Numeric, used in front-end to sort attributes","Numeric, used in front-end to sort attributes"
"Save Entered Value For Future Checkout","Save Entered Value For Future Checkout"
"If set to ""Yes"", previously entered value will be used during checkout. Works for registered customers only.","If set to ""Yes"", previously entered value will be used during checkout. Works for registered customers only."
"Show on Admin Grids","Show on Admin Grids"
"Include Into HTML Print-out","Include Into HTML Print-out"
"Order attributes will be included in the document that a customer prints
                    in his account","Order attributes will be included in the document that a customer prints
                    in his account"
"Include Into PDF Documents","Include Into PDF Documents"
"Please, make sure that the 'attributes display in PDF files' option is enabled in 
                    the extension's general settings before modifying this option.","Please, make sure that the 'attributes display in PDF files' option is enabled in 
                    the extension's general settings before modifying this option."
"Include Into Transactional Emails","Include Into Transactional Emails"
"Please, make sure that the 'Include Order Attributes into Emails' option is enabled in 
                    the extension's general settings before modifying this option.","Please, make sure that the 'Include Order Attributes into Emails' option is enabled in 
                    the extension's general settings before modifying this option."
"Automatically Apply Default Value","Automatically Apply Default Value"
"If set to `Yes`, the default value will be automatically applied for each order if attribute value is not entered or not visible at the frontend.","If set to `Yes`, the default value will be automatically applied for each order if attribute value is not entered or not visible at the frontend."
"Attribute Information","Attribute Information"
"Attribute Configuration","Attribute Configuration"
"Title, Tooltip, Options","Title, Tooltip, Options"
"Save Order Attributes","Save Order Attributes"
Edit,Edit
"Delete Relation","Delete Relation"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
Save,Save
"You deleted the order attribute.","You deleted the order attribute."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"Edit Order Attribute","Edit Order Attribute"
Order,Order
"Order Attributes","Order Attributes"
"Reindex 'Order Attributes Grid by Amasty' required.","Reindex 'Order Attributes Grid by Amasty' required."
"Order Attribute","Order Attribute"
"Manage Order Attributes","Manage Order Attributes"
"Post Data is Empty","Post Data is Empty"
"Order attribute was successfully saved.","Order attribute was successfully saved."
"Default Date less than Minimum Date","Default Date less than Minimum Date"
"Default Date more than Maximum Date","Default Date more than Maximum Date"
"Minimum Date more than Maximum Date","Minimum Date more than Maximum Date"
"An attribute with this code already exists.","An attribute with this code already exists."
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"Edit Attributes For The Order #%1","Edit Attributes For The Order #%1"
"The order attributes have been updated.","The order attributes have been updated."
"'An error occurred while updating the order attributes: ' .","'An error occurred while updating the order attributes: ' ."
"The Relation has been deleted.","The Relation has been deleted."
"This Relation does not exist.","This Relation does not exist."
"Edit Relation ""%1""","Edit Relation ""%1"""
"New Order Attribute Relation","New Order Attribute Relation"
"Attribute Relation","Attribute Relation"
"Order Attribute Relations","Order Attribute Relations"
"The Relation has been saved.","The Relation has been saved."
"The Relation has not been saved. Please review the error log for the details.","The Relation has not been saved. Please review the error log for the details."
"The attribute_id is not defined. Please try to reload the page. ","The attribute_id is not defined. Please try to reload the page. "
"Invalid default date","Invalid default date"
None,None
"Not Visible","Not Visible"
"Data is incorrect.","Data is incorrect."
"Unable to save relation %1","Unable to save relation %1"
"Relation with specified ID ""%1"" not found.","Relation with specified ID ""%1"" not found."
"Unable to remove relation %1","Unable to remove relation %1"
"Attribute with ID ""%1"" does not exist.","Attribute with ID ""%1"" does not exist."
"Attribute with ID ""%1"" is not Order Attribute.","Attribute with ID ""%1"" is not Order Attribute."
Yes,Yes
No,No
"Shipping Address","Shipping Address"
"Above Payment Method","Above Payment Method"
"Below Payment Method","Below Payment Method"
"Order Summary","Order Summary"
"NOT LOGGED IN","NOT LOGGED IN"
"12-hour AM/PM format","12-hour AM/PM format"
"24-hour format","24-hour format"
"Unknown Form Code","Unknown Form Code"
"Something went wrong.","Something went wrong."
"EntityData with specified ID ""%1"" not found.","EntityData with specified ID ""%1"" not found."
"Unable to remove entityData with ID %1. Error: %2","Unable to remove entityData with ID %1. Error: %2"
"Unable to remove entityData. Error: %1","Unable to remove entityData. Error: %1"
"Quote doesn't exist.","Quote doesn't exist."
"Unable to save Order Attributes. Error: %1","Unable to save Order Attributes. Error: %1"
"Additional Information","Additional Information"
"""%1"" is a required value.","""%1"" is a required value."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Is Default","Is Default"
"Unselect All","Unselect All"
"Add Option","Add Option"
"Sort Option","Sort Option"
Delete,Delete
"Manage Tooltip","Manage Tooltip"
"No attributes for this order","No attributes for this order"
"Additional Information:","Additional Information:"
label,label
"Additional Info","Additional Info"
"Edit Amasty Order Attributes","Edit Amasty Order Attributes"
"Checkout Settings","Checkout Settings"
"Display Attribute Values in the Order Summary","Display Attribute Values in the Order Summary"
"Date Format","Date Format"
"Format of date for outputting values","Format of date for outputting values"
"Time Format","Time Format"
"Include Order Attributes into Emails","Include Order Attributes into Emails"
"Send Attributes on Shipping Step","Send Attributes on Shipping Step"
"Set `No` to prevent validation on Shipping Step (One Step Checkout better compatibility)","Set `No` to prevent validation on Shipping Step (One Step Checkout better compatibility)"
"Newsletter Subscription","Newsletter Subscription"
"Set an attribute code of order attribute (Yes/No or Checkbox)","Set an attribute code of order attribute (Yes/No or Checkbox)"
"PDF Documents","PDF Documents"
"Include Order Attributes into Shipment (packing slip)","Include Order Attributes into Shipment (packing slip)"
"Include Order Attributes into Invoice","Include Order Attributes into Invoice"
"Order Attributes in the Invoices and Shipments","Order Attributes in the Invoices and Shipments"
"Display Order Attributes on the Invoice Grid","Display Order Attributes on the Invoice Grid"
"Display Order Attributes when Creating an Invoice","Display Order Attributes when Creating an Invoice"
"Display Order Attributes when Viewing an Invoice","Display Order Attributes when Viewing an Invoice"
"Display Order Attributes on the Shipments Grid","Display Order Attributes on the Shipments Grid"
"Display Order Attributes when Creating a Shipment","Display Order Attributes when Creating a Shipment"
"Display Order Attributes when Viewing a Shipment","Display Order Attributes when Viewing a Shipment"
"Text Field","Text Field"
Alphanumeric,Alphanumeric
"Numeric Only","Numeric Only"
"Alpha Only","Alpha Only"
URL,URL
Email,Email
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Entities"
"Text Area","Text Area"
Date,Date
"Date With Time","Date With Time"
Dropdown,Dropdown
"Multiple Select","Multiple Select"
Yes/No,Yes/No
"Radio Buttons","Radio Buttons"
"Checkbox Group","Checkbox Group"
Html,Html
"Order Attributes Grid by Amasty","Order Attributes Grid by Amasty"
"Rebuild Sales grid index by Amasty","Rebuild Sales grid index by Amasty"
"Add New Order Attribute","Add New Order Attribute"
"Attribute ID","Attribute ID"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
Visible,Visible
"Is Required","Is Required"
"Checkout Step","Checkout Step"
"Include Into PDFs","Include Into PDFs"
"Appy Default","Appy Default"
"Show on Grid","Show on Grid"
Position,Position
"Order Attributes Relation","Order Attributes Relation"
Back,Back
"Relation Information","Relation Information"
"Relation Name","Relation Name"
"For internal use","For internal use"
"Parent Attribute","Parent Attribute"
"Attribute Options","Attribute Options"
"Dependent Attributes","Dependent Attributes"
"Please, be aware that dependent attributes should be configured at the same checkout steps as the parent attribute.","Please, be aware that dependent attributes should be configured at the same checkout steps as the parent attribute."
"Add New Relation","Add New Relation"
"Attribute Codes","Attribute Codes"
