"Address","Address"
"Manage Regions","Manage Regions"
"Manage Cities","Manage Cities"
"Manage Townships","Manage Townships"
"Import Address","Import Address"
"Import Type","Import Type"
"Import File","Import File"
"The city %1 has been deleted.","The city %1 has been deleted."
"City to delete was not found.","City to delete was not found."
"This city no longer exists.","This city no longer exists."
"Cities Manager","Cities Manager"
"You saved the city.","You saved the city."
"Something went wrong while saving the city.","Something went wrong while saving the city."
"Please select a region, state or province.","--Region/State/Province--"
"Please select a city.","--City--"
"Please select a township.","--Township--"
"Township","Township"
"Address 1 Plh","Street and number, P.O.box, c/o"
"Address 2 Plh","Apartment, suite, unit, building, floor, etc."
"Address 3 Plh","Landmark"