"Export Distributor Data","Xuất dữ liệu nhà phân phối"
"Distributor","Nhà cung cấp: "
"-- Please Select --","-- Chọn nhà cung cấp --"
"Export","Xuất"
"Import Distributor Data","Nhập dữ liệu nhà phân phối"
"Input Data","Nhập dữ liệu:"
"Max default stock: %1","Giá trị tối đa mặc định của kho: %1"
"Import","Nhập"
"There is import process running","Đang có 1 tiến trình nhập dữ liệu được chạy"
"Export Inventory/Price", "Xuất dữ liệu tồn kho/ giá bán"
"Import Inventory/Price", "Cập nhật dữ liệu tồn kho/ giá bán"