"Banks","Ngân hàng"
"Bank","Ngân hàng"
"Customer Bank Accounts","Tài khoản Ngân hàng KH"
"CustomerBankAccount","Tài khoản Ngân hàng KH"
"Name","Tên"
"Short Name","Tên ngắn"
"Code","Mã"
"bank_id","ID Ngân hàng"
"Bank ID","ID Ngân hàng"
"bank_name","Tên Ngân hàng"
"Bank Name","Tên Ngân hàng"
"bank_image","Ảnh Ngân hàng"
"Bank Image","Ảnh Ngân hàng"
"bank_branch","Chi nhánh Ngân hàng"
"Bank Branch","Chi nhánh Ngân hàng"
"account_owner","Tên Tài khoản"
"Account Owner","Tên Tài khoản"
"account_number","Số Tài khoản"
"Account Number","Số Tài khoản"
"Customer ID","ID Khách hàng"
"status","Trạng thái"
"Status","Trạng thái"
"description","mô tả"
"Description","Mô tả"
"note","Ghi chú"
"Note","Ghi chú"
"order","Thứ tự"
"Order","Thứ tự"
"created_at","Ngày tạo"
"Created At","Ngày tạo"
"updated_at","Ngày cập nhật"
"Updated At","Ngày cập nhật"
"Image","Ảnh Ngân hàng"
"Delete Bank","Xóa"
"Add new Bank","Thêm mới"
"Save Bank","Lưu"
"New Bank","Tạo Tài khoản Ngân hàng"
"You saved the Bank.","Bạn đã lưu thành công Ngân hàng."
"Something went wrong while saving the Bank.","Đã xảy ra lỗi khi lưu Ngân hàng."
"This Bank no longer exists.","Ngân hàng này không còn tồn tại."
"You deleted the Bank.","Bạn đã xóa thành công Ngân hàng."
"Are you sure you wan't to delete selected Bank?","Bạn có chắc chắn muốn xóa Ngân hàng đã chọn?"
"Add new CustomerBankAccount","Thêm mới"
"Delete CustomerBankAccount","Xóa"
"Save CustomerBankAccount","Lưu"
"New Bank","Tạo Tài khoản Ngân hàng"