"or Sign up with","hoặc Đăng ký bằng"
"Sign up with %1","Đăng ký với %1"
"Have an account already?","Đã có tài khoản"
"Sign in","Đăng nhập"
"Male", "Anh"
"Female", "Chị"
"Phone Number","Số Điện thoại"
"Email Address or Phone Number","Địa chỉ email hoặc Số điện thoại"
"Email or Phone","Email hoặc Điện thoại"
"Email optional","Email (không bắt buộc)"
"If you have an account, sign in with your phone number.","Đăng nhập bằng Số điện thoại"
"If you have an account, sign in with your email address or phone number.","Đăng nhập bằng Email/Số điện thoại"
"A customer with the same phone number already exists in an associated website.","Số điện thoại đã được đăng ký trên hệ thống."
"Please enter your email or phone number","Vui lòng nhập email hoặc Số điện thoại"
"Phone + Password","Điện thoại + Mật khẩu"
"Phone/Email + Password", "Điện thoại/Email + Mật khẩu"
"Change Email and Phone Number","Đổi Email và Số Điện thoại"
"Change Email","Đổi Email"
"Input First name","Nhập Tên"
"Input Last name","Nhập Họ & tên lót"
"Input Phone number","Nhập số điện thoại"
"Input Email","Nhập Email"
"Input Email (not required)","Nhập Email (không bắt buộc)"
"Input Email or Phone number","Nhập Email hoặc Số điện thoại"
"Input Password 6 to 32 characters","Nhập mật khẩu 6 đến 32 ký tự"
"Input Password","Nhập mật khẩu"
"Input Password confirmation","Nhập mật khẩu 6 đến 32 ký tự"
"Please enter your phone number below to receive a OTP code for reset password.","Vui lòng nhập số điện thoại của bạn dưới đây để nhận được mã đặt lại mật khẩu."
"You will get an OTP code for reset your password. Please check your phone","Bạn sẽ nhận được 1 tin nhắn chứa mã xác thực để đặt lại mật khẩu. Xin hãy kiểm tra điện thoại của bạn"
"This phone number %1 was not verified. Please <a href='%2'>Click here</a> to verify your phone number","Số điện thoại %1 chưa được xác thực. Hãy <a href='%2'>Nhấn vào đây</a> để xác thực số điện thoại của bạn"
"This phone number %1 was not verified. Please verify your phone number","Số điện thoại %1 chưa được xác thực. Xin vui lòng xác thực số điện thoại của bạn"
"There are OTP code send to your phone %1","Đã có 1 mã xác thực gửi đến số điện thoại %1 của bạn"
"This phone number %1 was not registered in our system. Please check your phone number","Số điện thoại %1 chưa được đăng ký. Xin vui lòng kiểm tra lại số điện thoại của bạn"
"Please enter your phone number and full name.","Xin hãy nhập vào số điện thoại và họ tên"
"Could not authenticate. Please try again later","Không thể xác thực tài khoản. Xin hãy thử lại sau"
"The phone number and full name is incorrect. Please check the information and try again.","Số điện thoại hoặc họ tên không đúng. Xin kiểm tra lại thông tin và thử lại"
"Input phone number and click send OTP code to get OTP to your phone","Nhập số điện thoại và nhấn gửi mã xác thực để nhận mã xác thực vào điện thoại"
"Please input OTP code we have just sent to your phone number","Vui lòng nhập mã xác thực chúng tôi vừa gửi đến số điện thoại của bạn"
"There are no account with phone number %1","Không có tài khoản với số điện thoại %1"
"Account not found. Please recheck your phone number, your password or <a href='%1'>Create new account</a>.","Không tìm thấy tài khoản. Vui lòng kiểm tra lại số điện thoại, mật khẩu hoặc <a href='%1'>Tạo tài khoản</a>."
"Create new account","Tạo tài khoản"
"Back","Quay lại"
"Your account is not a customer account, please use customer account for login.","Tài khoản của bạn không phải tài khoản thành viên, xin hãy đăng nhập với tài khoản thành viên."
"Phone Verification tracking not found for customer with phone number: %1","Không tìm thấy thông tin xác thực số điện thoại cho tài khoản với số điện thoại: %1"
"Authenticate Code", "Mã xác thực"
"Verify Phone Number", "Xác thực số điện thoại"
"Phone number verify successfull.", "Số điện thoại xác thực thành công"
"This OTP Code is invalid", "Mã xác thực này không hợp lệ"
"This OTP Code is expired", "Mã xác thực này đã hết hạn"
"Phone Verification tracking not found for customer with id: %1", "Không tìm thấy thông tin xác thực số điện thoại cho tài khoản với id: %1"
"Have error when call API to send SMS", "Có lỗi xảy ra trong quá trình gửi mã xác thực đến điện thoại của bạn"
"Sent OTP for customer with id: %1", "Đã gửi mã xác thực cho tài khoản có id: %1"
"Request send OTP reach out of max request limit per day", "Số lần yêu cầu gửi mã xác thực hôm nay đã hết"
"Phone authenticated.", "Số điện thoại này đã được xác thực"
"User with id: %1 do not have phone number.", "Tài khoản có id: %1 không có số điện thoại"
"Please enter the verification code we just sent to your phone number %1", "Vui lòng nhập mã xác thực chúng tôi vừa gửi đến số điện thoại %1 của bạn"
"Send Authenticate Code","Gửi mã xác thực"
"You must verify your phone number %1. Please check your phone message for the OTP Code.","Bạn phải xác minh số điện thoại %1. Vui lòng kiểm tra tin nhắn điện thoại của bạn để biết Mã OTP."
"There are OTP code send to your phone, you can resend OTP code after %1 seconds", "Đã có 1 mã xác thực gửi đến điện thoại của bạn, bạn có thể gửi lại mã xác thực khác sau %1 giây"
"Phone of this account is not verified. <a href='%1'>Click here</a> to verify your phone number","Số điện thoại này chưa được xác thực. <a href='%1'>Nhấn vào đây</a> để xác thực số điện thoại"
"Phone of this account is not verified. Please verify your phone number","Số điện thoại này chưa được xác thực. Mời bạn xác thực số điện thoại này"
"Input your phone number","Nhập số điện thoại của bạn"
"There are no customer account registered by phone number %1","Không có tài khoản thành viên nào được đăng ký với số điện thoại %1"
"Invalid phone number or password.","Số điện thoại hoặc mật khẩu không hợp lệ."